1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
99999 99999 99999 99999 99999 99999 99999 530.1592 99999 99999 99999 99999 99999 99999 99999 456.9191 99999 309.1911 99999 317.8843 99999 440.4898 99999 99999 99999 99999 99999 99999 99999 99999
316.7506 582.8365 99999 99999 541.0961 431.4462 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 374.6192
479.315 311.0634 99999 99999 99999 99999 99999 99999 99999 334.4935 528.2188 99999 99999 99999 820.2554 99999 511.2219 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
99999 99999 548.7355 99999 437.3794 99999 99999 99999 99999 99999 99999 99999 99999 820.2554 99999 99999 99999 99999 99999 465.2333 99999 99999 99999 99999 313.6952 99999 99999 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 268.8877 99999 99999 477.2569 456.9191 99999 99999 99999 99999 99999 278.0395 99999 99999 99999 99999 99999 439.0067 99999 99999 99999 99999 532.7057 99999
99999 442.1213 99999 550.5182 99999 99999 99999 99999 99999 352.5686 99999 99999 99999 511.2219 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 498.5561 99999 99999 315.8409 309.1911 99999 99999 99999 278.0395 99999 99999 99999 591.8393 99999 99999 99999 99999 99999 99999 99999 99999 514.887 99999
99999 99999 99999 99999 99999 99999 99999 99999 320.7134 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 521.4303 99999 99999 99999 99999 648.1918 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 317.8843 99999 99999 465.2333 99999 99999 591.8393 99999 99999 99999 574.9925 99999 99999 350.6708 407.1607 507.9595 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 304.23 253.3706 661.1781 99999 99999
99999 99999 99999 99999 99999 99999 99999 450.1331 99999 99999 99999 440.4898 99999 99999 99999 99999 99999 99999 99999 574.9925 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
99999 99999 428.733 99999 99999 99999 99999 99999 452.252 99999 99999 99999 99999 99999 99999 99999 99999 99999 521.4303 99999 99999 99999 99999 99999 517.9626 99999 99999 407.9118 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 552.2324 99999 99999 99999 99999 439.0067 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 360.6948 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 313.6952 99999 99999 99999 99999 350.6708 99999 99999 517.9626 99999 99999 411.5479 567.4355 733.7124 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 407.1607 304.23 99999 99999 99999 411.5479 99999 156.8037 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 507.9595 253.3706 99999 99999 99999 567.4355 156.8037 99999 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 648.1918 99999 661.1781 99999 407.9118 99999 733.7124 99999 99999 99999 99999 99999
99999 99999 99999 506.3234 99999 99999 99999 99999 99999 464.0281 281.6071 99999 99999 99999 99999 532.7057 99999 514.887 99999 99999 99999 99999 99999 360.6948 99999 99999 99999 99999 99999 99999
99999 99999 99999 99999 595.1511 258.7995 407.0629 99999 99999 99999 99999 99999 374.6192 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
